2005-01-03,2184.75,2191.6,2148.72,2152.15,2039610900
2005-01-04,2158.31,2159.64,2100.56,2107.86,2502127800
2005-01-05,2102.9,2116.75,2091.24,2091.24,2209103400
2005-01-06,2098.51,2103.9,2088.03,2090,2022024600
2005-01-07,2099.95,2103.39,2076.69,2088.61,2038476300
2005-01-10,2087.62,2111.43,2086.66,2097.04,1951391100
2005-01-11,2089.07,2090.62,2072.62,2079.62,2055523200
2005-01-12,2089.7,2093.44,2066.79,2092.53,2099633100
2005-01-13,2093.54,2094.8,2067.94,2070.56,1963797300
2005-01-14,2079.47,2088.58,2075.47,2087.91,1938919800
2005-01-18,2081.86,2106.19,2078.04,2106.04,1844971200
2005-01-19,2105.74,2105.84,2072.2,2073.59,2062461000
2005-01-20,2056.38,2065.59,2045.88,2045.88,2075164800
2005-01-21,2053.15,2058,2032.88,2034.27,1900706100
2005-01-24,2040.13,2043.97,2008.68,2008.7,1985252400
2005-01-25,2022.08,2037.18,2017.58,2019.95,1863375900
2005-01-26,2034.69,2049.34,2028.19,2046.09,1957715100
2005-01-27,2042.77,2053.94,2036.09,2047.15,1958784600
2005-01-28,2052.54,2055.13,2024.36,2035.83,1951279500
2005-01-31,2053.47,2063.18,2053.47,2062.41,1696134000
2005-02-01,2063.27,2071.52,2058.66,2068.7,1771250100
2005-02-02,2074.06,2079.58,2064.2,2075.06,1827961500
2005-02-03,2065.44,2066.93,2049.25,2057.64,1825357500
2005-02-04,2056.47,2086.72,2056.29,2086.66,1805604300
2005-02-07,2086.55,2091.17,2075.41,2082.03,1579567800
2005-02-08,2082.11,2095.64,2080.42,2086.68,1807510800
2005-02-09,2088.52,2089.38,2051,2052.55,1821693300
2005-02-10,2058.53,2059.65,2040.04,2053.1,1939515000
2005-02-11,2048.96,2081.48,2039.72,2076.66,2012175900
2005-02-14,2076.75,2085.12,2074.81,2082.91,1524865200
2005-02-15,2083.64,2103.45,2081.46,2089.21,1926578700
2005-02-16,2082.46,2093.37,2079.37,2087.43,1734515100
